,year,genre,rating,Director,Top_5_cast,Images
Johnny Gaddaar,(2007),"Crime, Drama, Mystery",7.9,Sriram Raghavan,"['Dharmendra', 'Rimi Sen', 'Ashwini Kalsekar', 'Neil Nitin Mukesh']","https://m.media-amazon.com/images/M/MV5BNDE4MmU1YTktMzY1OS00NWQ4LWExZmYtZjI3MzJjNGIxZTcxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR2,0,140,209_AL_.jpg"
Maqbool,(2003),"Crime, Drama, Thriller",8,Vishal Bhardwaj,"['Irrfan Khan', 'Tabu', 'Pankaj Kapur', 'Naseeruddin Shah']","https://m.media-amazon.com/images/M/MV5BMTE2NjYzOWUtMDgyZS00NGY3LTk5ZDctODMxNGYyNjUyODIwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR5,0,140,209_AL_.jpg"
Hazaaron Khwaishein Aisi,(2003),Drama,7.9,Sudhir Mishra,"['Kay Kay Menon', 'Shiney Ahuja', 'Chitrangda Singh', 'Ram Kapoor']","https://m.media-amazon.com/images/M/MV5BYjkwOTM5OWUtYTQyZC00NmE1LWIyMDEtYzRjNjMzMjM5NjU4XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UX140_CR0,0,140,209_AL_.jpg"
Rock On!!,(2008),"Drama, Music",7.7,Abhishek Kapoor,"['Arjun Rampal', 'Farhan Akhtar', 'Luke Kenny', 'Purab Kohli']","https://m.media-amazon.com/images/M/MV5BMTM2NjIwODc4N15BMl5BanBnXkFtZTcwMDgwMzM4MQ@@._V1_UY209_CR2,0,140,209_AL_.jpg"
Don,(1978),"Action, Crime, Thriller",7.7,Chandra Barot,"['Amitabh Bachchan', 'Zeenat Aman', 'Pran Sikand', 'Iftekhar']","https://m.media-amazon.com/images/M/MV5BMzc0OGU4NGYtNzgwMy00NThjLWJmYWItZDUzZTVlZjg0YjdjXkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_UX140_CR0,0,140,209_AL_.jpg"
Chhoti Si Baat,(1976),"Comedy, Romance",8.3,Basu Chatterjee,"['Ashok Kumar', 'Vidya Sinha', 'Amol Palekar', 'Govardhan Asrani']","https://m.media-amazon.com/images/M/MV5BNTAxMmUwYzktMTY0NS00ZDcwLWEwMjEtNDRkMGRlMzRhYjVmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR7,0,140,209_AL_.jpg"
Guide,(1965),"Drama, Romance",8.3,Vijay Anand,"['Dev Anand', 'Waheeda Rehman', 'Leela Chitnis', 'Anwar Hussain']","https://m.media-amazon.com/images/M/MV5BOTM4ZjhiNGItMzE2My00YjM0LWE5ZTEtYTA5NDMzZDJlOWQ3XkEyXkFqcGdeQXVyODMyODMxNDY@._V1_UY209_CR2,0,140,209_AL_.jpg"
Raanjhanaa,(2013),"Drama, Romance",7.6,Aanand L. Rai,"['Dhanush', 'Sonam Kapoor', 'Mohd. Zeeshan Ayyub', 'Swara Bhasker']","https://m.media-amazon.com/images/M/MV5BN2MzYWI2OGQtNzgxNi00ZjNiLWI1NTQtZWUyNWNiZDEyODFmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR2,0,140,209_AL_.jpg"
Deewaar,(1975),"Action, Crime, Drama",8,Yash Chopra,"['Amitabh Bachchan', 'Shashi Kapoor', 'Nirupa Roy', 'Parveen Babi']","https://m.media-amazon.com/images/M/MV5BMTU2NTYyOTA3NV5BMl5BanBnXkFtZTcwMDMyNjEzMQ@@._V1_UY209_CR2,0,140,209_AL_.jpg"
Special Chabbis,(2013),"Crime, Drama, Thriller",8,Neeraj Pandey,"['Akshay Kumar', 'Anupam Kher', 'Manoj Bajpayee', 'Jimmy Shergill']","https://m.media-amazon.com/images/M/MV5BMTQ1NDI5MjMzNF5BMl5BanBnXkFtZTcwMTc0MDQwOQ@@._V1_UY209_CR2,0,140,209_AL_.jpg"
Padosan,(1968),"Comedy, Musical, Romance",8.1,Jyoti Swaroop,"['Sunil Dutt', 'Saira Banu', 'Mehmood', 'Kishore Kumar']","https://m.media-amazon.com/images/M/MV5BOTgxNDk4YjgtMjE3OC00MWE0LTgyZWYtM2I1ZTQwYjk4NDYyXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX140_CR0,0,140,209_AL_.jpg"
Mumbai Meri Jaan,(2008),Drama,7.7,Nishikant Kamat,"['Paresh Rawal', 'Kay Kay Menon', 'Irrfan Khan', 'Madhavan']","https://m.media-amazon.com/images/M/MV5BNTMwMmQ3YmYtODU3MS00NzRhLTkyZGEtM2Q5OWRlMGQxMzIyXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR9,0,140,209_AL_.jpg"
Ab Tak Chhappan,(2004),"Crime, Drama",7.8,Shimit Amin,"['Nana Patekar', 'Revathi', 'Yashpal Sharma', 'Mohan Agashe']","https://m.media-amazon.com/images/M/MV5BOTg1MTM4OWQtODcyMi00YWM3LTk4NmYtMGQ1YmU3YTg1ZmUxXkEyXkFqcGdeQXVyNDY5MTUyNjU@._V1_UX140_CR0,0,140,209_AL_.jpg"
Kai po che!,(2013),"Drama, Sport",7.8,Abhishek Kapoor,"['Amit Sadh', 'Sushant Singh Rajput', 'Rajkummar Rao', 'Amrita Puri']","https://m.media-amazon.com/images/M/MV5BMTgwNTAwMjEzMF5BMl5BanBnXkFtZTcwNzMzODY4OA@@._V1_UY209_CR9,0,140,209_AL_.jpg"
Awaara,(1951),"Drama, Musical, Romance",7.8,Raj Kapoor,"['Raj Kapoor', 'Nargis', 'Prithviraj Kapoor', 'K.N. Singh']","https://m.media-amazon.com/images/M/MV5BZDY5NmYzY2UtYWFiMy00MTRmLWEwNDQtZjRjMWUxYTNhMTM3XkEyXkFqcGdeQXVyMDkwNTkwNg@@._V1_UX140_CR0,0,140,209_AL_.jpg"
